No,BookTitleEng,BookTitleMN,AuthorEng,AuthorMN,IllustratorEng,IllustratorBurmese,Price,ISBN,Language
1,Everyone is Important,ကိုယ်စီတန်ဖိုး,Than Lwin Myint,သံလွင်မြင့်,Thiha (Sakhan Thit),သီဟ (စခန်းသစ်),3000,ISBN 978-99971-73-01-0,Myanmar
2,Swe Zin's Dance,မျောက်ကလေးရဲ့ကကြိုး,Than Lwin Myint,သံလွင်မြင့်,Thiha (Sakhan Thit),သီဟ (စခန်းသစ်),3000,ISBN 978-99971-73-03-4,Bilingual (M/E)
3,Crow and Cuckoos,စုပေါင်းညီညာ ပျော်စရာ,Than Lwin Myint,သံလွင်မြင့်,Thiha (Sakhan Thit),သီဟ (စခန်းသစ်),3000,ISBN 978-99971-73-05-8,Myanmar
4,Tales of Two Pots,အိုး‌ကလေးနှစ်လုံးပုံပြင်,Than Lwin Myint,သံလွင်မြင့်,Thiha (Sakhan Thit),သီဟ (စခန်းသစ်),3000,ISBN 978-99971-73-07-2,Myanmar
5,What Makes us Beautiful,လှစေတဲ့အရာ,Pyone Lai Lai Mon,ပြုံးလဲ့လဲ့မွန်,Thiha (Sakhan Thit),သီဟ (စခန်းသစ်),3000,ISBN 978-99971-73-09-6,Myanmar
6,Frog and Snake,မြွေနဲ့ဖား,Shwe Mi,ရွှေမိ,Phay Thit Te,ဖေသစ်တည်,3000,ISBN 978-99971-73-11-9,Myanmar
7,Phway Phway Won't Litter,ဖွေးဖွေး အမှိုက်မပစ်တော့ပါ,Soe Moe Myint,စိုးမိုးမြင့်,Aung Naing Oo (Kenneth Wang),အောင်နိုင်ဦး(Kenneth Wang),3000,ISBN 978-99971-73-13-3,Bilingual (M/E)
8,Flying Cat,ပြင်ပရုပ်သွင်,Nisha and Than Lwin Myint,နီရှား၊ သံလွင်မြင့်,Phay Thit Te,ဖေသစ်တည်,3000,ISBN 978-99971-73-15-7,Myanmar
9,Pu Su's Adventure,တူတာလေးတစ်ခု,U U Thiha,ဦးဦးသီဟ,Thiha (Sakhan Thit),သီဟ(စခန်းသစ်),3000,ISBN 978-99971-73-17-1,Myanmar
10,Thiri Goes to School,သီရိကျောင်းသွားသည်,Myanmar Storytellers,မြန်မာပုံပြောသူများအဖွဲ့,Kar Gyi,ကာကြီး,3500,ISBN 978-99971-73-19-5,Myanmar
11,Ei Si the Duckling,ဘဲကေလး အိစိ,Phyo Phyo Myint ,ဖြိုးဖြိုးမြင့်,Kar Gyi,ကာကြီး,3000,ISBN 978-99971-73-21-8,Myanmar
12,Pone Pone's Garden,ဥယျာဥ်မှူးလေးပုံ့ပုံ့,Thiri ,သီရိ,ATH,အေတီအိပ်ချ်,3000,ISBN 978-99971-73-23-2,Myanmar
13,The Gardener,ဥယျာဥ်မှူးလေး,Phoe Wa Lone,ဖိုးဝလုံး,Phay Thit Te,ဖေသစ်တည်,3000,ISBN 978-99971-73-25-6,Myanmar
14,For the Love of Trees,သစ်တောသစ်ပင်ချစ်စေချင်,Soe Moe Myint,စိုးမိုးမြင့်,Kar Gyi,ကာကြီး,3000,ISBN 978-99971-73-27-0,Myanmar
15,Working Together,ပေါင်းစည်းခြင်း၏ရလဒ်,Aye Nyein Moe,အေးငြိမ်းမိုး,Thiha (Sakhan Thit),သီဟ(စခန်းသစ်),3000,ISBN 978-99971-73-29-4,Myanmar
16,The Bridge,တံတားလေးတစ်စင်း,Phyo Phyo Myint ,ဖြိုးဖြိုးမြင့်,Edo Vader,အဲဒိုဗေဒါ,3000,ISBN 978-99971-73-31-7,No Word
17,Superhero,စူပါ ဟီးရိုး,Ma Ma Linn,မမလင်း,Phay Thit Te,ဖေသစ်တည်,3000,ISBN 978-99971-73-33-1,Bilingual (M/E)
18,Phoe Maung and Friends,ဖိုးမောင်လေးနှင့် သူငယ်ချင်းများ,Shwe Mi ,ရွှေမိ,Kar Gyi,ကာကြီး,3000,ISBN 978-99971-73-35-5,Myanmar
19,Little Chicken Egg,ကြက်ဥပုံပြင်,Than Lwin Myint,သံလွင်မြင့်,Thiha (Sakhan Thit),သီဟ(စခန်းသစ်),3000,ISBN 978-99971-73-37-9,Bilingual (M/E)
20,Little Bear's Hobby,ဝက်ဝံလေးရဲ့ ဝါသနာ,Phyo Phyo Myint ,ဖြိုးဖြိုးမြင့်,Kan Htoo Aung,ကံထူးအောင်,3000,ISBN 978-99971-73-39-3,Bilingual (M/E)
21,Singer from Flower City,ပန်းမြို့‌တော်ကအဆိုတော်,Yoe Yar Thit,ရိုးရာသစ်,Kar Gyi,ကာကြီး,3000,ISBN 978-99971-73-41-6,Myanmar
22,Playtime for Mee Su,မီးစုပျော်သွားပြီ,Thi Yar,သီယျာ,Su Myat Htwe,ဆုမြတ်ထွေး,3000,ISBN 978-99971-73-43-0,Myanmar
23,Taungzalat Tale,တောင်ဇလပ်ပုံပြင်,Key Gae Tam,ကီး‌ဂေတမ်,Thiha (Sakhan Thit),သီဟ(စခန်းသစ်),3000,ISBN 978-99971-73-45-4,Myanmar
24,Happy Journey,ပျော်စရာ ခရီးစဥ်,Zwe Htet Aung,ဇွဲထက်အောင်,Htake Htar Lay,ထိပ်ထားလေး,3000,ISBN 978-99971-73-47-8,Myanmar
25,Robot Footballer,ဘောလုံးကန်တဲ့စက်ရုပ်လေး,Sai Shang Mai ,စိုင်းရှန်မိုင်း,Edo Vader,အဲဒိုဗေဒါ,3000,ISBN 978-99971-73-49-2,No Word
26,Jar Ni Wants to go to School,ကျောင်းတက်ချင်တဲ့ ဂျားနီလေး ,Ma Sai Nwe,မဆိုင်းနွေ,Dau Dai JZ (ZZDD),-,3000,ISBN 978-99971-73-51-5,Bilingual (M/E)
27,First Prize,တန်းတူညီတူ,Mg Khin Lin ,မောင်ခင်လင်း,Htake Htar Lay,ထိပ်ထားလေး,3000,ISBN 978-99971-73-53-9,Myanmar
28,Home,အိမ်,Nang Hnin Yee Aye,နန်းနှင်းရည်အေး,Edo Vader,အဲဒိုဗေဒါ,3000,ISBN 978-99971-73-55-3,Myanmar
29,"Sola, The Pencil",ခဲတံကလေးဆိုလ,Htawm Shing Bawm Yung,ထွန်းရှိန်ဘောမ်ယုံ,Than Lwin Myint,သံလွင်မြင့်,3000,ISBN 978-99971-73-56-0,Bilingual (M/E)
30,"Mg Mal Tu, The Umbrella",ထီးကလေးမောင်မဲတူ,Phyo Thet Khaing,ဖြိုးသက်ခိုင်,Kar Gyi,ကာကြီး,3000,ISBN 978-99971-73-59-1,Bilingual (M/E)
31,Oasis,အိုအေစစ်လေး,Kan Thar ,ကံသာ,Tha Doe Swe,သတိုးဆွေ,3000,ISBN 978-99971-73-63-8,Myanmar
32,Dee Ku from Bamboo Land,ဝါးခမောက်လေးမောင်ဒီးကူ,Jenny Su Naing ,ဂျယ်နီဆုနိုင်,Htake Htar Lay,ထိပ်ထားလေး,3500,ISBN 978-99971-73-60-7,Myanmar
33,Mee Mee Lay's Shoes,မီးမီးလေးရဲ့ ဖိနပ်လေး,Sayama Min Min,ဆရာမ မင်းမင်း,Ku Kue,ကူကူး,3000,ISBN 978-99971-73-62-1,Bilingual (M/E)
34,Happy Land,ပျော်စရာမြေ,Thor Zin Htut Aung,သော်ဇင်ထွဋ်အောင်,Edo Vader,အဲဒိုဗေဒါ,3500,ISBN 978-99971-73-61-4,Myanmar
35,Magic Princess and Sugar Land,မှော်မင်းသမီးနှင့် သကြားတိုင်းပြည်,Min Thte Hmue Paing,မင်းသက်မှူးပိုင်,Thiha (Sakhan Thit),သီဟ(စခန်းသစ်),3000,ISBN 978-99971-73-67-6,Bilingual (M/E)
36,Village in the Cloud,တိမ်ပေါ်ကရွာ,Ma Wai Wai,မဝေဝေ,Edo Vader,အဲဒိုဗေဒါ,3000,ISBN 978-99971-73-66-9,Myanmar
37,Helpful Dragons,ကူညီတတ်တဲ့နဂါးလေးများ,Naing Ko Ko Kyaw ,နိုင်ကိုကိုကျော်,Htake Htar Lay,ထိပ်ထားလေး,3000,ISBN 978-99971-73-65-2,Myanmar
38,Small Cute Bamboo,ဝါးပင်ငယ်ငယ်ချစ်စဖွယ်,Naw Lawt,နော်လောဒ်,Kar Gyi,ကာကြီး,3000,ISBN 978-99971-73-64-2,Myanmar
39,Jay Jay the Journalist,သတင်းထောက်လေး ‌ဂျေဂျေ,Phoe Wa Lone,ဖိုးဝလုံး,Kar Gyi,ကာကြီး,3000,ISBN 978-99971-73-79-9,Bilingual (M/E)
40,Three Merchants,ကုန်သည်သုံးဦး,Pakokku Storytellers (2018),ပခုက္ကူပုံပြောသူများအဖွဲ့,Aung Khant Zaw (Haru),ဟာရု,3500,ISBN 978-99971-73-81-2,Bilingual (M/E)
41,Pu Lone the Little Pillow,ခေါင်းအုံးကလေးမောင်ပုလုံး,Htet Ko,ထက်ကို,Htake Htar Lay,ထိပ်ထားလေး,3000,ISBN 978-99971-73-83-6,Bilingual (M/E)
42,The Little Broom,တံမြက်စည်းလေးတာဝန်ကျေ,Loikaw ST (2018),လွိုင်ကော်ပုံပြောသူများအဖွဲ့,Han,ဟန်,3000,ISBN 978-99971-73-80-5,Myanmar
43,The Jungle Friends,တောတွင်းသားများ,Nyaung Shwe Storytellers (2018),ညောင်ရွှေပုံပြောသူများအဖွဲ့,Si Thu Swe,စည်သူဆွေ,3000,ISBN 978-99971-73-82-9,Bilingual (M/E)
44,"The Sewing Needle , Spool of Thread and Five Brothers",အပ်မအပ်ချည်နဲ့ ညီနောင်ငါးဖော်,Moe Thout Kyal,မိုးသောက်ကြယ်,Htake Htar Lay,ထိပ်ထားလေး,3000,ISBN 978-99971-73-70-6,Bilingual (M/E)
45,Alphabet Story,ကလေးတို့ရဲ့ အက္ခရာ,Shwe Mi,ရွှေမိ,Aung Naing Oo (Kenneth Wang),အောင်နိုင်ဦး(Kenneth Wang),3000,ISBN 978-99971-73-84-3,Myanmar
46,Ko Ko and Po Po Save for a Bicycle,ကိုကို ပိုပို နှင့် ပိုက်ဆံစုရအောင်,Shwe Mi,ရွှေမိ,Ye' Win and Aung Khant Zaw (Haru),ရဲဝင်း၊ ဟာရု,3000,ISBN 978-99971-73-88-1,Bilingual (M/E)
47,May May Loves You,မေမေကချစ်တယ်,Shwe Mi,ရွှေမိ,Htake Htar Lay,ထိပ်ထားလေး,4000,ISBN 978-99971-73-86-7,Bilingual (M/E)
